. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	12   	-1881.68472	Yes        	4        	4.000    	0.000    	 0.25598   0.18363   0.31698   0.24341	-0.96583   0.32140   0.33415   0.31028  
      	     	          	           	          	           	             	                                      	 0.44803  -1.66960   0.27456   0.94701  
      	     	          	           	          	           	             	                                      	 0.26984   0.15905  -0.51865   0.08976  
      	     	          	           	          	           	             	                                      	 0.32630   0.71444   0.11689  -1.15763  

  #17	12   	-1921.38199	Yes        	4        	4.000    	0.000    	 0.23119   0.23334   0.25975   0.27571	-1.08368   0.36015   0.43171   0.29182  
      	     	          	           	          	           	             	                                      	 0.35683  -1.22399   0.28383   0.58332  
      	     	          	           	          	           	             	                                      	 0.38425   0.25498  -0.82062   0.18138  
      	     	          	           	          	           	             	                                      	 0.24470   0.49368   0.17088  -0.90926  

  #18	12   	-1966.89282	Yes        	4        	4.000    	0.000    	 0.22007   0.21793   0.27195   0.29006	-1.20392   0.42652   0.51309   0.26430  
      	     	          	           	          	           	             	                                      	 0.43073  -1.31530   0.23824   0.64634  
      	     	          	           	          	           	             	                                      	 0.41522   0.19091  -0.76160   0.15547  
      	     	          	           	          	           	             	                                      	 0.20053   0.48561   0.14576  -0.83190  

  #19	12   	-1987.72116	Yes        	4        	4.000    	0.000    	 0.26980   0.19644   0.27624   0.25752	-0.95179   0.22154   0.44816   0.28209  
      	     	          	           	          	           	             	                                      	 0.30428  -1.36806   0.33670   0.72708  
      	     	          	           	          	           	             	                                      	 0.43770   0.23943  -0.80108   0.12395  
      	     	          	           	          	           	             	                                      	 0.29554   0.55463   0.13296  -0.98313  

  #20	12   	-1844.48612	Yes        	4        	4.000    	0.000    	 0.24870   0.17939   0.31708   0.25483	-1.10416   0.33054   0.51615   0.25747  
      	     	          	           	          	           	             	                                      	 0.45823  -1.48162   0.26779   0.75559  
      	     	          	           	          	           	             	                                      	 0.40483   0.15151  -0.68821   0.13187  
      	     	          	           	          	           	             	                                      	 0.25127   0.53192   0.16408  -0.94727  

  #21	12   	-1893.81443	Yes        	4        	4.000    	0.000    	 0.23207   0.23666   0.25353   0.27774	-1.08924   0.37773   0.45346   0.25806  
      	     	          	           	          	           	             	                                      	 0.37039  -1.30977   0.22604   0.71335  
      	     	          	           	          	           	             	                                      	 0.41508   0.21101  -0.72432   0.09823  
      	     	          	           	          	           	             	                                      	 0.21562   0.60784   0.08967  -0.91312  

  #22	12   	-1986.36200	Yes        	4        	4.000    	0.000    	 0.21626   0.25613   0.26104   0.26656	-1.38448   0.40938   0.73021   0.24489  
      	     	          	           	          	           	             	                                      	 0.34565  -1.01421   0.21219   0.45637  
      	     	          	           	          	           	             	                                      	 0.60494   0.20820  -0.92558   0.11244  
      	     	          	           	          	           	             	                                      	 0.19867   0.43852   0.11011  -0.74730  

  #23	12   	-1928.90022	Yes        	4        	4.000    	0.000    	 0.23349   0.23840   0.27773   0.25038	-1.02331   0.40307   0.42698   0.19326  
      	     	          	           	          	           	             	                                      	 0.39476  -1.30833   0.22793   0.68564  
      	     	          	           	          	           	             	                                      	 0.35896   0.19566  -0.71044   0.15581  
      	     	          	           	          	           	             	                                      	 0.18022   0.65283   0.17283  -1.00587  

  #24	12   	-1814.51630	Yes        	4        	4.000    	0.000    	 0.25476   0.18907   0.28729   0.26888	-1.13400   0.30671   0.64997   0.17732  
      	     	          	           	          	           	             	                                      	 0.41326  -1.35247   0.23645   0.70275  
      	     	          	           	          	           	             	                                      	 0.57636   0.15561  -0.84868   0.11670  
      	     	          	           	          	           	             	                                      	 0.16801   0.49417   0.12469  -0.78687  

  #25	12   	-1990.34416	Yes        	4        	4.000    	0.000    	 0.26481   0.24179   0.25284   0.24056	-1.11766   0.42100   0.34519   0.35147  
      	     	          	           	          	           	             	                                      	 0.46107  -1.13416   0.15389   0.51920  
      	     	          	           	          	           	             	                                      	 0.36153   0.14717  -0.67201   0.16330  
      	     	          	           	          	           	             	                                      	 0.38688   0.52185   0.17164  -1.08037  

  #26	12   	-1945.46919	Yes        	4        	4.000    	0.000    	 0.20613   0.18926   0.32791   0.27669	-1.21578   0.38961   0.51800   0.30817  
      	     	          	           	          	           	             	                                      	 0.42434  -1.49061   0.28381   0.78246  
      	     	          	           	          	           	             	                                      	 0.32563   0.16381  -0.63453   0.14509  
      	     	          	           	          	           	             	                                      	 0.22959   0.53523   0.17195  -0.93678  

  #27	12   	-1987.15370	Yes        	4        	4.000    	0.000    	 0.23818   0.21639   0.27225   0.27317	-0.98191   0.40603   0.38134   0.19454  
      	     	          	           	          	           	             	                                      	 0.44692  -1.52198   0.34242   0.73264  
      	     	          	           	          	           	             	                                      	 0.33362   0.27216  -0.72880   0.12302  
      	     	          	           	          	           	             	                                      	 0.16962   0.58035   0.12261  -0.87258  

  #28	12   	-2030.80089	Yes        	4        	4.000    	0.000    	 0.20700   0.23741   0.28839   0.26720	-1.26830   0.41446   0.57025   0.28359  
      	     	          	           	          	           	             	                                      	 0.36138  -1.25777   0.19779   0.69860  
      	     	          	           	          	           	             	                                      	 0.40932   0.16282  -0.65761   0.08547  
