. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	3   	-3226333.88723	Yes        	4        	4.000    	0.000    	 0.37590   0.13599   0.17334   0.31477	-0.87441   0.17920   0.32488   0.37033  
      	     	          	           	          	           	             	                                      	 0.49533  -1.53306   0.12351   0.91421  
      	     	          	           	          	           	             	                                      	 0.70451   0.09689  -0.97559   0.17419  
      	     	          	           	          	           	             	                                      	 0.44225   0.39496   0.09592  -0.93313  

  #17	3   	-3227619.71291	Yes        	4        	4.000    	0.000    	 0.37597   0.13638   0.17297   0.31469	-0.87480   0.17909   0.32314   0.37257  
      	     	          	           	          	           	             	                                      	 0.49369  -1.52672   0.12284   0.91019  
      	     	          	           	          	           	             	                                      	 0.70239   0.09686  -0.97396   0.17471  
      	     	          	           	          	           	             	                                      	 0.44512   0.39447   0.09603  -0.93562  

  #18	3   	-3227115.65139	Yes        	4        	4.000    	0.000    	 0.37546   0.13668   0.17309   0.31477	-0.87519   0.17788   0.32542   0.37189  
      	     	          	           	          	           	             	                                      	 0.48864  -1.52043   0.12069   0.91110  
      	     	          	           	          	           	             	                                      	 0.70589   0.09530  -0.97666   0.17547  
      	     	          	           	          	           	             	                                      	 0.44360   0.39563   0.09649  -0.93572  

  #19	3   	-3225635.29487	Yes        	4        	4.000    	0.000    	 0.37556   0.13652   0.17310   0.31482	-0.87589   0.17857   0.32314   0.37418  
      	     	          	           	          	           	             	                                      	 0.49123  -1.52482   0.12086   0.91273  
      	     	          	           	          	           	             	                                      	 0.70111   0.09532  -0.96940   0.17296  
      	     	          	           	          	           	             	                                      	 0.44638   0.39581   0.09510  -0.93729  

  #20	3   	-3227187.81895	Yes        	4        	4.000    	0.000    	 0.37623   0.13652   0.17300   0.31425	-0.87497   0.17920   0.32401   0.37177  
      	     	          	           	          	           	             	                                      	 0.49385  -1.52563   0.12255   0.90923  
      	     	          	           	          	           	             	                                      	 0.70461   0.09671  -0.97445   0.17313  
      	     	          	           	          	           	             	                                      	 0.44509   0.39499   0.09532  -0.93540  

  #21	3   	-3226151.07408	Yes        	4        	4.000    	0.000    	 0.37556   0.13634   0.17328   0.31483	-0.87662   0.17762   0.32654   0.37246  
      	     	          	           	          	           	             	                                      	 0.48929  -1.52258   0.12318   0.91012  
      	     	          	           	          	           	             	                                      	 0.70774   0.09692  -0.97721   0.17255  
      	     	          	           	          	           	             	                                      	 0.44431   0.39414   0.09497  -0.93342  

  #22	3   	-3224649.61857	Yes        	4        	4.000    	0.000    	 0.37560   0.13617   0.17319   0.31504	-0.87486   0.17927   0.32275   0.37284  
      	     	          	           	          	           	             	                                      	 0.49447  -1.53547   0.12489   0.91612  
      	     	          	           	          	           	             	                                      	 0.69994   0.09819  -0.96932   0.17119  
      	     	          	           	          	           	             	                                      	 0.44451   0.39598   0.09411  -0.93460  

  #23	3   	-3225374.15247	Yes        	4        	4.000    	0.000    	 0.37596   0.13625   0.17331   0.31449	-0.87367   0.17708   0.32373   0.37286  
      	     	          	           	          	           	             	                                      	 0.48862  -1.52913   0.12362   0.91689  
      	     	          	           	          	           	             	                                      	 0.70228   0.09719  -0.97126   0.17179  
      	     	          	           	          	           	             	                                      	 0.44573   0.39722   0.09467  -0.93763  

  #24	3   	-3226506.31585	Yes        	4        	4.000    	0.000    	 0.37564   0.13604   0.17343   0.31488	-0.87525   0.17975   0.32379   0.37172  
      	     	          	           	          	           	             	                                      	 0.49632  -1.53235   0.12418   0.91185  
      	     	          	           	          	           	             	                                      	 0.70129   0.09741  -0.97326   0.17455  
      	     	          	           	          	           	             	                                      	 0.44345   0.39396   0.09614  -0.93355  

  #25	3   	-3224745.97332	Yes        	4        	4.000    	0.000    	 0.37537   0.13669   0.17326   0.31468	-0.87623   0.17926   0.32324   0.37373  
      	     	          	           	          	           	             	                                      	 0.49226  -1.52453   0.12126   0.91101  
      	     	          	           	          	           	             	                                      	 0.70029   0.09567  -0.96905   0.17308  
      	     	          	           	          	           	             	                                      	 0.44580   0.39573   0.09530  -0.93683  

  #26	3   	-3224083.45511	Yes        	4        	4.000    	0.000    	 0.37600   0.13591   0.17292   0.31517	-0.87466   0.17749   0.32426   0.37291  
      	     	          	           	          	           	             	                                      	 0.49103  -1.52680   0.12334   0.91243  
      	     	          	           	          	           	             	                                      	 0.70505   0.09694  -0.97753   0.17554  
      	     	          	           	          	           	             	                                      	 0.44489   0.39347   0.09632  -0.93468  

  #27	3   	-3227079.53383	Yes        	4        	4.000    	0.000    	 0.37548   0.13618   0.17316   0.31518	-0.87566   0.17963   0.32469   0.37134  
      	     	          	           	          	           	             	                                      	 0.49525  -1.53045   0.12323   0.91197  
      	     	          	           	          	           	             	                                      	 0.70405   0.09691  -0.97555   0.17459  
      	     	          	           	          	           	             	                                      	 0.44239   0.39405   0.09592  -0.93236  

  #28	3   	-3227883.14459	Yes        	4        	4.000    	0.000    	 0.37579   0.13646   0.17289   0.31487	-0.87534   0.17932   0.32496   0.37106  
      	     	          	           	          	           	             	                                      	 0.49381  -1.52495   0.12119   0.90995  
      	     	          	           	          	           	             	                                      	 0.70632   0.09565  -0.97755   0.17558  
      	     	          	           	          	           	             	                                      	 0.44285   0.39435   0.09641  -0.93361  

  #29	3   	-3224902.89431	Yes        	4        	4.000    	0.000    	 0.37574   0.13590   0.17339   0.31498	-0.87624   0.17902   0.32503   0.37220  
      	     	          	           	          	           	             	                                      	 0.49496  -1.52838   0.12400   0.90942  
      	     	          	           	          	           	             	                                      	 0.70434   0.09719  -0.97642   0.17489  
      	     	          	           	          	           	             	                                      	 0.44399   0.39237   0.09628  -0.93264  

  #30	3   	-3228017.68263	Yes        	4        	4.000    	0.000    	 0.37564   0.13641   0.17314   0.31481	-0.87403   0.17715   0.32353   0.37335  
