5_1	3_1152	35.34	232	141	5	39	266	555	781	2e-38	 144
5_1	3_949	31.10	299	168	8	53	327	502	786	5e-38	 142
5_1	3_435	33.33	81	43	3	87	167	199	268	2e-04	39.7
5_1	3_1761	24.04	104	62	3	48	145	8	100	0.001	37.0
5_3	3_1274	26.89	119	86	1	44	162	29	146	2e-12	58.2
5_8	3_1363	29.55	555	367	10	204	743	32	577	2e-74	 251
5_8	3_829	29.22	486	323	12	267	743	96	569	8e-55	 196
5_8	3_986	31.45	248	132	9	506	729	277	510	8e-25	 105
5_8	3_986	24.89	237	160	6	511	731	12	246	2e-14	72.8
5_8	3_31	30.14	219	138	6	506	717	8	218	5e-24	 100
5_8	3_224	27.67	253	155	8	506	744	2	240	1e-23	 100
5_8	3_791	28.29	258	169	5	477	731	301	545	2e-23	 101
5_8	3_1088	32.85	207	127	6	522	721	20	221	3e-22	95.5
5_8	3_792	25.84	209	142	4	511	718	328	524	4e-22	97.4
5_8	3_232	32.12	193	118	5	512	700	6	189	2e-21	91.7
5_8	3_2195	31.22	221	141	8	523	737	17	232	2e-20	89.0
5_8	3_30	27.16	232	147	8	505	721	2	226	9e-20	87.4
5_8	3_397	31.19	202	128	6	506	702	2	197	3e-19	85.1
5_8	3_1889	29.03	217	141	7	506	718	5	212	2e-18	84.0
5_8	3_759	28.24	216	146	6	506	717	2	212	2e-18	83.2
5_8	3_299	27.98	218	141	5	506	720	261	465	3e-18	84.7
5_8	3_299	26.13	222	137	7	511	717	7	216	1e-13	70.1
5_8	3_1628	26.64	229	143	5	490	702	28	247	5e-18	82.0
5_8	3_610	25.96	235	145	8	506	729	2	218	2e-17	80.1
5_8	3_1159	32.87	216	125	9	521	722	27	236	4e-17	79.3
5_8	3_2296	24.89	233	151	7	506	727	4	223	4e-17	80.1
5_8	3_381	25.57	219	139	7	510	720	6	208	3e-16	75.9
5_8	3_2168	25.10	239	156	6	523	751	18	243	3e-15	72.8
5_8	3_1944	25.00	212	147	6	512	716	10	216	6e-15	72.0
5_8	3_1028	28.43	204	126	9	524	718	24	216	8e-15	71.2
5_8	3_1910	26.70	206	123	6	509	705	5	191	4e-14	71.6
5_8	3_1910	22.47	178	119	6	530	700	278	443	3e-05	43.5
5_8	3_1158	27.92	240	131	9	510	721	12	237	9e-14	69.7
5_8	3_366	25.52	239	139	8	506	730	2	215	1e-13	67.4
5_8	3_1115	28.16	206	128	5	522	721	19	210	2e-13	68.2
5_8	3_644	27.65	217	135	8	506	720	4	200	2e-13	67.0
5_8	3_343	25.95	185	125	5	523	700	23	202	8e-13	65.5
5_8	3_1426	23.69	249	158	8	518	752	11	241	9e-13	65.9
5_8	3_143	22.94	218	132	8	522	724	17	213	1e-12	65.5
5_8	3_2243	33.33	150	76	7	585	721	1	139	4e-11	59.3
5_8	3_1660	25.00	208	149	5	518	720	12	217	4e-11	62.0
5_8	3_1660	24.45	229	140	9	506	717	255	467	1e-10	60.5
5_8	3_2381	25.41	185	126	4	523	705	18	192	5e-10	57.4
5_8	3_835	25.32	237	143	9	489	718	11	220	2e-09	55.8
5_8	3_85	28.87	142	81	5	540	675	31	158	2e-09	54.3
5_8	3_745	24.35	230	148	11	523	739	17	233	3e-09	55.1
5_8	3_367	26.76	213	135	8	523	721	21	226	8e-09	53.5
5_8	3_1094	26.27	217	131	9	523	720	20	226	2e-08	52.8
5_8	3_1287	27.81	169	113	5	523	684	18	184	2e-08	52.8
5_8	3_1623	23.71	232	126	9	521	718	15	229	3e-08	53.1
5_8	3_1623	25.91	220	137	10	506	725	320	513	2e-05	44.3
5_8	3_839	39.68	63	37	1	642	703	133	195	6e-08	50.4
5_8	3_826	24.66	219	133	6	523	725	19	221	9e-08	50.4
5_8	3_160	28.75	80	55	1	644	721	142	221	6e-07	47.4
5_8	3_1447	27.35	223	129	9	506	700	4	221	6e-07	48.9
5_8	3_1447	24.73	186	115	7	517	700	339	501	8e-07	48.5
5_8	3_761	21.43	196	114	10	520	700	325	495	4e-06	46.2
5_8	3_761	23.50	183	104	5	523	678	19	192	2e-05	43.9
5_8	3_2394	36.84	57	36	0	644	700	123	179	5e-06	45.1
5_8	3_2005	38.98	59	32	2	644	701	132	187	4e-05	43.1
5_10	3_530	31.65	436	266	7	7	413	11	443	2e-78	 249
5_10	3_1302	29.27	410	254	11	14	414	11	393	7e-42	 150
5_10	3_1135	28.10	420	270	12	1	413	1	395	2e-40	 147
5_10	3_1318	29.89	358	218	11	26	366	28	369	2e-40	 147
5_10	3_2042	27.84	291	190	11	30	317	42	315	9e-19	84.3
5_10	3_1361	25.41	307	201	13	23	322	36	321	2e-15	74.3
5_11	3_925	36.87	339	193	8	37	365	39	366	1e-60	 201
5_11	3_531	24.27	379	262	9	8	380	3	362	9e-28	 109
5_11	3_551	27.60	192	107	8	89	267	56	228	5e-05	41.2
5_13	3_2265	24.00	150	103	3	1	150	1	139	5e-06	42.7
5_14	3_529	23.74	198	121	8	17	190	3	194	1e-05	41.2
5_17	3_617	32.12	137	88	4	5	139	3	136	8e-20	78.2
5_17	3_1080	35.56	135	81	5	1	133	1	131	2e-19	77.0
5_17	3_2098	24.82	137	88	3	7	133	6	137	1e-04	36.6
5_20	3_1238	29.43	316	206	6	131	438	77	383	7e-34	 129
5_20	3_1240	28.76	306	211	5	138	440	99	400	2e-28	 114
5_20	3_1256	25.20	254	152	6	187	429	164	390	5e-10	57.4
5_32	3_2066	28.81	118	80	2	8	125	4	117	4e-14	63.2
5_32	3_686	30.17	116	76	2	8	123	4	114	4e-13	60.1
5_32	3_1534	26.96	115	79	2	9	123	5	114	2e-10	52.8
5_32	3_2187	29.51	122	81	3	8	127	3	121	3e-10	52.0
