"","x"
"291","OG0000398:"
"292","OG0000414:"
"293","OG0000484:"
"294","OG0000492:"
"295","OG0000493:"
"296","OG0000551:"
"297","OG0000662:"
"298","OG0000758:"
"299","OG0000767:"
"300","OG0000810:"
"301","OG0000873:"
"302","OG0000875:"
"303","OG0000903:"
"304","OG0000911:"
"305","OG0001011:"
"306","OG0001042:"
"307","OG0001057:"
"308","OG0001084:"
"309","OG0001085:"
"310","OG0001108:"
"311","OG0001134:"
"312","OG0001135:"
"313","OG0001192:"
"314","OG0001226:"
"315","OG0001233:"
"316","OG0001261:"
"317","OG0001263:"
"318","OG0001362:"
"319","OG0001447:"
"320","OG0001603:"
"321","OG0001632:"
"322","OG0001699:"
"323","OG0001713:"
"324","OG0001722:"
"325","OG0001830:"
"326","OG0001859:"
"327","OG0001944:"
"328","OG0001960:"
"329","OG0001990:"
"330","OG0002049:"
"331","OG0002057:"
"332","OG0002165:"
"333","OG0002209:"
"334","OG0002331:"
"335","OG0002414:"
"336","OG0002416:"
"337","OG0002422:"
"338","OG0002551:"
"339","OG0002565:"
"340","OG0002824:"
"341","OG0002851:"
"342","OG0002928:"
"343","OG0002991:"
"344","OG0003012:"
"345","OG0003020:"
"346","OG0003028:"
"347","OG0003184:"
"348","OG0003187:"
"349","OG0003227:"
"350","OG0003229:"
"351","OG0003465:"
"352","OG0003478:"
"353","OG0003480:"
"354","OG0003499:"
"355","OG0000108:"
"356","OG0000160:"
"357","OG0000194:"
"358","OG0000197:"
"359","OG0000199:"
"360","OG0000260:"
"361","OG0000347:"
"362","OG0000361:"
"363","OG0000456:"
"364","OG0000461:"
"365","OG0000482:"
"366","OG0000510:"
"367","OG0000743:"
"368","OG0000766:"
"369","OG0000813:"
"370","OG0000856:"
"371","OG0000861:"
"372","OG0000868:"
"373","OG0001044:"
"374","OG0001304:"
"375","OG0001351:"
"376","OG0001407:"
"377","OG0001449:"
"378","OG0001457:"
"379","OG0001502:"
"380","OG0001512:"
"381","OG0001539:"
"382","OG0001560:"
"383","OG0001618:"
"384","OG0001621:"
"385","OG0001721:"
"386","OG0001734:"
"387","OG0001739:"
"388","OG0001750:"
"389","OG0001902:"
"390","OG0001992:"
"391","OG0002115:"
"392","OG0002120:"
"393","OG0002286:"
"394","OG0002611:"
"395","OG0002713:"
"396","OG0002997:"
"397","OG0003233:"
"398","OG0003235:"
"399","OG0000034:"
"400","OG0000079:"
"401","OG0000150:"
"402","OG0000185:"
"403","OG0000192:"
"404","OG0000248:"
"405","OG0000316:"
"406","OG0000320:"
"407","OG0000387:"
"408","OG0000388:"
"409","OG0000418:"
"410","OG0000419:"
"411","OG0000420:"
"412","OG0000452:"
"413","OG0000455:"
"414","OG0000460:"
"415","OG0000527:"
"416","OG0000538:"
"417","OG0000548:"
"418","OG0000574:"
"419","OG0000607:"
"420","OG0000688:"
"421","OG0000689:"
"422","OG0000691:"
"423","OG0000706:"
"424","OG0000713:"
"425","OG0000714:"
"426","OG0000715:"
"427","OG0000745:"
"428","OG0000748:"
"429","OG0000749:"
"430","OG0000750:"
"431","OG0000805:"
"432","OG0000922:"
"433","OG0000932:"
"434","OG0001083:"
"435","OG0001227:"
"436","OG0001248:"
"437","OG0001267:"
"438","OG0001305:"
"439","OG0001346:"
"440","OG0001354:"
"441","OG0001357:"
"442","OG0001364:"
"443","OG0001476:"
"444","OG0001479:"
"445","OG0001504:"
"446","OG0001567:"
"447","OG0001596:"
"448","OG0001610:"
"449","OG0001656:"
"450","OG0001693:"
"451","OG0001696:"
"452","OG0001707:"
"453","OG0001720:"
"454","OG0001838:"
"455","OG0001873:"
"456","OG0002021:"
"457","OG0002103:"
"458","OG0002155:"
"459","OG0002158:"
"460","OG0002166:"
"461","OG0002167:"
"462","OG0002239:"
"463","OG0002272:"
"464","OG0002300:"
"465","OG0002304:"
"466","OG0002623:"
"467","OG0003022:"
"468","OG0000129:"
"469","OG0000166:"
