"","x"
"291","OG0001092:"
"292","OG0001163:"
"293","OG0001164:"
"294","OG0001186:"
"295","OG0001195:"
"296","OG0001199:"
"297","OG0001271:"
"298","OG0001273:"
"299","OG0001275:"
"300","OG0001313:"
"301","OG0001318:"
"302","OG0001337:"
"303","OG0001363:"
"304","OG0001365:"
"305","OG0001382:"
"306","OG0001408:"
"307","OG0001428:"
"308","OG0001444:"
"309","OG0001483:"
"310","OG0001484:"
"311","OG0001498:"
"312","OG0001533:"
"313","OG0001548:"
"314","OG0001589:"
"315","OG0001595:"
"316","OG0001627:"
"317","OG0001645:"
"318","OG0001650:"
"319","OG0001652:"
"320","OG0001654:"
"321","OG0001697:"
"322","OG0001735:"
"323","OG0001745:"
"324","OG0001761:"
"325","OG0001814:"
"326","OG0001819:"
"327","OG0001831:"
"328","OG0001838:"
"329","OG0001850:"
"330","OG0001886:"
"331","OG0001915:"
"332","OG0001923:"
"333","OG0001969:"
"334","OG0001982:"
"335","OG0002004:"
"336","OG0002051:"
"337","OG0002057:"
"338","OG0002058:"
"339","OG0002142:"
"340","OG0002254:"
"341","OG0002349:"
"342","OG0002394:"
"343","OG0002527:"
"344","OG0002531:"
"345","OG0002535:"
"346","OG0002538:"
"347","OG0002759:"
"348","OG0002760:"
"349","OG0002762:"
"350","OG0002782:"
"351","OG0002785:"
"352","OG0002787:"
"353","OG0002789:"
"354","OG0002793:"
"355","OG0002805:"
"356","OG0002809:"
"357","OG0002813:"
"358","OG0002814:"
"359","OG0002816:"
"360","OG0002818:"
"361","OG0002829:"
"362","OG0002832:"
"363","OG0002836:"
"364","OG0002840:"
"365","OG0002842:"
"366","OG0002850:"
"367","OG0002855:"
"368","OG0002859:"
"369","OG0002866:"
"370","OG0002867:"
"371","OG0002868:"
"372","OG0002871:"
"373","OG0003217:"
"374","OG0003233:"
"375","OG0003235:"
"376","OG0003238:"
"377","OG0003240:"
"378","OG0003243:"
"379","OG0003247:"
"380","OG0003248:"
"381","OG0003249:"
"382","OG0003251:"
"383","OG0003271:"
"384","OG0003274:"
"385","OG0003279:"
"386","OG0003283:"
"387","OG0003290:"
"388","OG0003295:"
"389","OG0003713:"
"390","OG0003900:"
"391","OG0003901:"
"392","OG0003904:"
"393","OG0003906:"
"394","OG0003907:"
"395","OG0003908:"
"396","OG0003912:"
"397","OG0003915:"
"398","OG0003917:"
"399","OG0003919:"
"400","OG0003920:"
"401","OG0003921:"
"402","OG0003923:"
"403","OG0003924:"
"404","OG0003929:"
"405","OG0003930:"
"406","OG0003932:"
"407","OG0003935:"
"408","OG0003936:"
